model,layer,head,correct,total,accuracy
bert,10,0,1752,1335993,0.00131138414144516
bert,10,1,5903,1335993,0.00441843643784523
bert,10,2,15013,1335993,0.011237334460020065
bert,10,3,80610,1335993,0.060337141156196594
bert,10,4,39523,1335993,0.029583238065242767
bert,10,5,265401,1335993,0.19865448772907257
bert,10,6,1647,1335993,0.0012327908771112561
bert,10,7,12713,1335993,0.009515768848359585
bert,10,8,1355,1335993,0.0010142268147319555
bert,10,9,6416,1335993,0.004802420269697905
bert,10,10,1144,1335993,0.0008562919101677835
bert,10,11,17,1335993,1.27246175907203e-05
bert,11,0,1942,1335993,0.0014536004746332765
bert,11,1,1078,1335993,0.0008068904280662537
bert,11,2,21802,1335993,0.016318947076797485
bert,11,3,1320,1335993,0.0009880291763693094
bert,11,4,1021,1335993,0.0007642255513928831
bert,11,5,1113,1335993,0.0008330881828442216
bert,11,6,510,1335993,0.0003817385295405984
bert,11,7,58,1335993,4.341340172686614e-05
bert,11,8,3637,1335993,0.002722319681197405
bert,11,9,4324,1335993,0.0032365438528358936
bert,11,10,4666,1335993,0.003492533229291439
bert,11,11,152,1335993,0.00011377305054338649
