model,layer,head,correct,total,accuracy
gpt2,9,3,216200,1335993,0.1618271917104721
gpt2,9,4,216047,1335993,0.1617126762866974
gpt2,9,5,212503,1335993,0.15905997157096863
gpt2,9,6,216280,1335993,0.16188707947731018
gpt2,9,7,224916,1335993,0.1683511883020401
gpt2,9,8,289013,1335993,0.2163282334804535
gpt2,9,9,215736,1335993,0.1614798903465271
gpt2,9,10,255945,1335993,0.19157660007476807
gpt2,9,11,218781,1335993,0.16375909745693207
gpt2,10,0,216033,1335993,0.1617022007703781
gpt2,10,1,211952,1335993,0.1586475372314453
gpt2,10,2,215823,1335993,0.1615450084209442
gpt2,10,3,152495,1335993,0.11414356529712677
gpt2,10,4,213588,1335993,0.15987209975719452
gpt2,10,5,209366,1335993,0.1567119061946869
gpt2,10,6,273390,1335993,0.20463430881500244
gpt2,10,7,215325,1335993,0.16117225587368011
gpt2,10,8,209658,1335993,0.15693046152591705
gpt2,10,9,209541,1335993,0.1568428874015808
gpt2,10,10,210189,1335993,0.15732792019844055
gpt2,10,11,228690,1335993,0.17117604613304138
gpt2,11,0,214431,1335993,0.160503089427948
gpt2,11,1,66621,1335993,0.04986627772450447
gpt2,11,2,215701,1335993,0.16145369410514832
gpt2,11,3,211235,1335993,0.1581108570098877
gpt2,11,4,213969,1335993,0.16015727818012238
gpt2,11,5,215594,1335993,0.16137360036373138
gpt2,11,6,217267,1335993,0.16262584924697876
gpt2,11,7,197624,1335993,0.14792293310165405
gpt2,11,8,199127,1335993,0.14904794096946716
gpt2,11,9,214823,1335993,0.16079650819301605
gpt2,11,10,201515,1335993,0.15083536505699158
gpt2,11,11,205030,1335993,0.1534663736820221
