model,layer,head,correct,total,accuracy
bert,9,11,22058,1374476,0.01604829728603363
bert,10,0,14303,1374476,0.010406147688627243
bert,10,1,26,1374476,1.891630017780699e-05
bert,10,2,3916,1374476,0.002849085722118616
bert,10,3,12739,1374476,0.0092682596296072
bert,10,4,6183,1374476,0.004498441703617573
bert,10,5,1823,1374476,0.0013263236032798886
bert,10,6,7584,1374476,0.005517739336937666
bert,10,7,19367,1374476,0.01409046072512865
bert,10,8,179765,1374476,0.13078802824020386
bert,10,9,46547,1374476,0.033865269273519516
bert,10,10,2435,1374476,0.0017715842695906758
bert,10,11,8174,1374476,0.005946993827819824
bert,11,0,105,1374476,7.6392745540943e-05
bert,11,1,4259,1374476,0.003098635468631983
bert,11,2,954,1374476,0.0006940827006474137
bert,11,3,1201,1374476,0.0008737875614315271
bert,11,4,1172,1374476,0.0008526885649189353
bert,11,5,1461,1374476,0.0010629505850374699
bert,11,6,141,1374476,0.00010258454858558252
bert,11,7,29,1374476,2.1098949218867347e-05
bert,11,8,2050,1374476,0.0014914774801582098
bert,11,9,1333,1374476,0.0009698241483420134
bert,11,10,728,1374476,0.0005296564195305109
bert,11,11,18,1374476,1.309589970333036e-05
