model,layer,head,correct,total,accuracy
gpt2,10,7,310252,1679483,0.184730663895607
gpt2,10,8,306759,1679483,0.1826508492231369
gpt2,10,9,311519,1679483,0.18548505008220673
gpt2,10,10,306647,1679483,0.18258416652679443
gpt2,10,11,306062,1679483,0.18223583698272705
gpt2,11,0,277875,1679483,0.16545270383358002
gpt2,11,1,306905,1679483,0.1827377825975418
gpt2,11,2,306484,1679483,0.1824871152639389
gpt2,11,3,314760,1679483,0.18741482496261597
gpt2,11,4,306535,1679483,0.18251748383045197
gpt2,11,5,306955,1679483,0.18276755511760712
gpt2,11,6,306755,1679483,0.1826484650373459
gpt2,11,7,306622,1679483,0.18256928026676178
gpt2,11,8,276429,1679483,0.1645917296409607
gpt2,11,9,306825,1679483,0.18269014358520508
gpt2,11,10,310726,1679483,0.18501289188861847
gpt2,11,11,315870,1679483,0.1880757361650467
