model,layer,head,correct,total,accuracy
bert,10,0,31441,1679481,0.018720664083957672
bert,10,1,730,1679481,0.0004346580826677382
bert,10,2,34324,1679481,0.020437266677618027
bert,10,3,467,1679481,0.0002780620998237282
bert,10,4,1989,1679481,0.0011842944659292698
bert,10,5,111,1679481,6.609184492845088e-05
bert,10,6,4887,1679481,0.0029098275117576122
bert,10,7,2142,1679481,0.0012753939954563975
bert,10,8,14374,1679481,0.008558596484363079
bert,10,9,547,1679481,0.0003256958443671465
bert,10,10,18424,1679481,0.010970056056976318
bert,10,11,127694,1679481,0.07603181898593903
bert,11,0,767,1679481,0.0004566886927932501
bert,11,1,555,1679481,0.00033045923919416964
bert,11,2,15995,1679481,0.009523775428533554
bert,11,3,769,1679481,0.00045787953422404826
bert,11,4,1441,1679481,0.0008580031571909785
bert,11,5,3040,1679481,0.0018100830493494868
bert,11,6,182,1679481,0.000108366810309235
bert,11,7,84,1679481,5.0015452870866284e-05
bert,11,8,11947,1679481,0.007113507017493248
bert,11,9,15565,1679481,0.009267743676900864
bert,11,10,324,1679481,0.00019291673379484564
bert,11,11,911,1679481,0.0005424294504337013
